threshold,f1,precision,recall,accuracy,tp,fp,tn,fn
0.193,0.7532846715328467,0.6042154566744731,1.0,0.6724806201550387,258,169,89,0
0.194,0.7532846715328467,0.6042154566744731,1.0,0.6724806201550387,258,169,89,0
0.195,0.7510917030567685,0.6013986013986014,1.0,0.6686046511627907,258,171,87,0
0.196,0.7478260869565216,0.5972222222222222,1.0,0.6627906976744186,258,174,84,0
0.197,0.7456647398843931,0.5944700460829493,1.0,0.6589147286821705,258,176,82,0
0.198,0.7445887445887446,0.593103448275862,1.0,0.6569767441860465,258,177,81,0
0.199,0.7435158501440923,0.591743119266055,1.0,0.6550387596899225,258,178,80,0
0.2,0.7413793103448275,0.589041095890411,1.0,0.6511627906976745,258,180,78,0
0.201,0.7413793103448275,0.589041095890411,1.0,0.6511627906976745,258,180,78,0
0.202,0.7392550143266474,0.5863636363636363,1.0,0.6472868217054264,258,182,76,0
0.203,0.7371428571428571,0.583710407239819,1.0,0.6434108527131783,258,184,74,0
0.204,0.7360912981455064,0.582392776523702,1.0,0.6414728682170543,258,185,73,0
0.205,0.7360912981455064,0.582392776523702,1.0,0.6414728682170543,258,185,73,0
0.206,0.7360912981455064,0.582392776523702,1.0,0.6414728682170543,258,185,73,0
0.207,0.7360912981455064,0.582392776523702,1.0,0.6414728682170543,258,185,73,0
0.208,0.7339971550497867,0.5797752808988764,1.0,0.6375968992248062,258,187,71,0
0.209,0.7339971550497867,0.5797752808988764,1.0,0.6375968992248062,258,187,71,0
0.21,0.7319148936170213,0.5771812080536913,1.0,0.6337209302325582,258,189,69,0
0.211,0.7308781869688384,0.5758928571428571,1.0,0.6317829457364341,258,190,68,0
0.212,0.7308781869688384,0.5758928571428571,1.0,0.6317829457364341,258,190,68,0
0.213,0.7298444130127298,0.5746102449888641,1.0,0.6298449612403101,258,191,67,0
0.214,0.7298444130127298,0.5746102449888641,1.0,0.6298449612403101,258,191,67,0
0.215,0.7298444130127298,0.5746102449888641,1.0,0.6298449612403101,258,191,67,0
0.216,0.728813559322034,0.5733333333333334,1.0,0.627906976744186,258,192,66,0
0.217,0.728813559322034,0.5733333333333334,1.0,0.627906976744186,258,192,66,0
0.218,0.728813559322034,0.5733333333333334,1.0,0.627906976744186,258,192,66,0
0.219,0.728813559322034,0.5733333333333334,1.0,0.627906976744186,258,192,66,0
0.22,0.7277856135401974,0.5720620842572062,1.0,0.625968992248062,258,193,65,0
0.221,0.7277856135401974,0.5720620842572062,1.0,0.625968992248062,258,193,65,0
0.222,0.7277856135401974,0.5720620842572062,1.0,0.625968992248062,258,193,65,0
0.223,0.7257383966244726,0.5695364238410596,1.0,0.622093023255814,258,195,63,0
0.224,0.7257383966244726,0.5695364238410596,1.0,0.622093023255814,258,195,63,0
0.225,0.7257383966244726,0.5695364238410596,1.0,0.622093023255814,258,195,63,0
0.226,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.227,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.228,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.229,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.23,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.231,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.232,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.233,0.7247191011235955,0.5682819383259912,1.0,0.6201550387596899,258,196,62,0
0.234,0.7237026647966339,0.567032967032967,1.0,0.6182170542635659,258,197,61,0
0.235,0.7237026647966339,0.567032967032967,1.0,0.6182170542635659,258,197,61,0
0.236,0.7237026647966339,0.567032967032967,1.0,0.6182170542635659,258,197,61,0
0.237,0.7226890756302521,0.5657894736842105,1.0,0.6162790697674418,258,198,60,0
0.238,0.7226890756302521,0.5657894736842105,1.0,0.6162790697674418,258,198,60,0
0.239,0.7226890756302521,0.5657894736842105,1.0,0.6162790697674418,258,198,60,0
0.24,0.7226890756302521,0.5657894736842105,1.0,0.6162790697674418,258,198,60,0
0.241,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.242,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.243,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.244,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.245,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.246,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.247,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.248,0.7216783216783218,0.5645514223194749,1.0,0.6143410852713178,258,199,59,0
0.249,0.7206703910614526,0.5633187772925764,1.0,0.6124031007751938,258,200,58,0
0.25,0.7186629526462395,0.5608695652173913,1.0,0.6085271317829457,258,202,56,0
0.251,0.717663421418637,0.559652928416486,1.0,0.6065891472868217,258,203,55,0
0.252,0.717663421418637,0.559652928416486,1.0,0.6065891472868217,258,203,55,0
0.253,0.717663421418637,0.559652928416486,1.0,0.6065891472868217,258,203,55,0
0.254,0.717663421418637,0.559652928416486,1.0,0.6065891472868217,258,203,55,0
0.255,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.256,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.257,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.258,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.259,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.26,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.261,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.262,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.263,0.7166666666666666,0.5584415584415584,1.0,0.6046511627906976,258,204,54,0
0.264,0.7156726768377253,0.5572354211663066,1.0,0.6027131782945736,258,205,53,0
0.265,0.7156726768377253,0.5572354211663066,1.0,0.6027131782945736,258,205,53,0
0.266,0.7156726768377253,0.5572354211663066,1.0,0.6027131782945736,258,205,53,0
0.267,0.7146814404432134,0.5560344827586207,1.0,0.6007751937984496,258,206,52,0
0.268,0.7146814404432134,0.5560344827586207,1.0,0.6007751937984496,258,206,52,0
0.269,0.7146814404432134,0.5560344827586207,1.0,0.6007751937984496,258,206,52,0
0.27,0.7146814404432134,0.5560344827586207,1.0,0.6007751937984496,258,206,52,0
0.271,0.7136929460580913,0.5548387096774193,1.0,0.5988372093023255,258,207,51,0
0.272,0.7117241379310344,0.5524625267665952,1.0,0.5949612403100775,258,209,49,0
0.273,0.7107438016528926,0.5512820512820513,1.0,0.5930232558139535,258,210,48,0
0.274,0.7097661623108666,0.5501066098081023,1.0,0.5910852713178295,258,211,47,0
0.275,0.7097661623108666,0.5501066098081023,1.0,0.5910852713178295,258,211,47,0
0.276,0.7078189300411523,0.5477707006369427,1.0,0.5872093023255814,258,213,45,0
0.277,0.7068493150684931,0.5466101694915254,1.0,0.5852713178294574,258,214,44,0
0.278,0.7068493150684931,0.5466101694915254,1.0,0.5852713178294574,258,214,44,0
0.279,0.7068493150684931,0.5466101694915254,1.0,0.5852713178294574,258,214,44,0
0.28,0.7068493150684931,0.5466101694915254,1.0,0.5852713178294574,258,214,44,0
0.281,0.7058823529411764,0.5454545454545454,1.0,0.5833333333333334,258,215,43,0
0.282,0.7039563437926329,0.5431578947368421,1.0,0.5794573643410853,258,217,41,0
0.283,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.284,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.285,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.286,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.287,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.288,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.289,0.7029972752043597,0.542016806722689,1.0,0.5775193798449613,258,218,40,0
0.29,0.7020408163265307,0.5408805031446541,1.0,0.5755813953488372,258,219,39,0
0.291,0.7020408163265307,0.5408805031446541,1.0,0.5755813953488372,258,219,39,0
0.292,0.7020408163265307,0.5408805031446541,1.0,0.5755813953488372,258,219,39,0
0.293,0.7010869565217391,0.5397489539748954,1.0,0.5736434108527132,258,220,38,0
0.294,0.7010869565217391,0.5397489539748954,1.0,0.5736434108527132,258,220,38,0
0.295,0.7010869565217391,0.5397489539748954,1.0,0.5736434108527132,258,220,38,0
0.296,0.7010869565217391,0.5397489539748954,1.0,0.5736434108527132,258,220,38,0
0.297,0.7010869565217391,0.5397489539748954,1.0,0.5736434108527132,258,220,38,0
0.298,0.700135685210312,0.5386221294363257,1.0,0.5717054263565892,258,221,37,0
0.299,0.700135685210312,0.5386221294363257,1.0,0.5717054263565892,258,221,37,0
0.3,0.6991869918699186,0.5375,1.0,0.5697674418604651,258,222,36,0
0.301,0.6991869918699186,0.5375,1.0,0.5697674418604651,258,222,36,0
0.302,0.6991869918699186,0.5375,1.0,0.5697674418604651,258,222,36,0
0.303,0.6991869918699186,0.5375,1.0,0.5697674418604651,258,222,36,0
0.304,0.6991869918699186,0.5375,1.0,0.5697674418604651,258,222,36,0
0.305,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.306,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.307,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.308,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.309,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.31,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.311,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.312,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.313,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.314,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.315,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.316,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.317,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.318,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.319,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.32,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.321,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.322,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.323,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.324,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.325,0.6982408660351828,0.5363825363825364,1.0,0.5678294573643411,258,223,35,0
0.326,0.6972972972972973,0.5352697095435685,1.0,0.5658914728682171,258,224,34,0
0.327,0.6972972972972973,0.5352697095435685,1.0,0.5658914728682171,258,224,34,0
0.328,0.6972972972972973,0.5352697095435685,1.0,0.5658914728682171,258,224,34,0
0.329,0.6963562753036437,0.5341614906832298,1.0,0.563953488372093,258,225,33,0
0.33,0.6963562753036437,0.5341614906832298,1.0,0.563953488372093,258,225,33,0
